3_grams,Frequency
bhagya written update,394
written update september,333
written update july,315
written update august,305
written update december,304
written update november,299
written update may,296
written update june,284
written update october,282
rishta kya kehlata,277
kya kehlata hai,276
yeh rishta kya,276
kumkum bhagya written,270
yeh hai mohabbatein,242
mehta ka ooltah,227
bigg boss 10,226
ka ooltah chashmah,223
2017 written update,216
taarak mehta ka,214
bigg boss 12,208
kehlata hai written,196
ishqbaaz written update,195
hai written update,195
sasural simar ka,188
ooltah chashmah written,183
chashmah written update,181
ke aise bhi,180
rang pyar ke,177
kuch rang pyar,176
pyar ke aise,175
ka written update,173
written update april,166
2 written update,165
bigg boss 11,159
hai mohabbatein written,155
mohabbatein written update,153
kapil sharma show,153
bigg boss telugu,138
written update january,135
kundali bhagya written,129
simar ka written,125
khatron ke khiladi,123
jhalak dikhhla jaa,121
ki written update,112
bigg boss 8,112
bigg boss tamil,103
boss telugu 2,102
bigg boss house,99
bigg boss kannada,96
written update february,95
bigg boss 7,93
saat bhai champa,89
champa written update,87
bhai champa written,87
written update march,86
comedy nights kapil,85
tu sooraj main,83
telugu 2 written,82
sooraj main saanjh,82
bhi written update,80
aise bhi written,80
main saanjh piyaji,79
bigg boss malayalam,76
apon ke por,73
ke apon ke,73
diya aur baati,72
por written update,71
ke por written,71
sa ga pa,70
kulfi kumar bajewala,70
bajewala written update,69
kumar bajewala written,69
shah rukh khan,68
ye hai mohabbatein,68
saanjh piyaji written,66
ishq mein marjawan,62
piyaji written update,62
mazhya navryachi bayko,59
kasautii zindagii kay,59
bigg boss 9,59
bigg boss contestant,59
marjawan written update,59
beyhadh written update,59
mein marjawan written,58
aur baati hum,58
malayalam written update,56
navryachi bayko written,56
boss malayalam written,56
bayko written update,56
bigg boss marathi,55
3 written update,54
silsila badalte rishton,53
badalte rishton ka,53
pahate written update,52
tula pahate written,52
2018 written update,51
comedy nights bachao,51
pyar ki written,50
naagin 3 written,50
rishton ka written,48
ke ehsaas ki,48
dola written update,45
kusum dola written,45
boss tamil 2,45
ehsaas ki written,45
thapki pyar ki,45
zindagii kay 2,44
tere pyar ki,44
kasam tere pyar,44
shakti astitva ke,43
astitva ke ehsaas,43
comedy super nite,42
kaun banega crorepati,41
ex bigg boss,40
saath nibhana saathiya,40
india got talent,40
boss marathi written,39
game thrones season,39
marathi written update,39
divyanka tripathi vivek,38
6 written update,38
karthika deepam written,38
deepam written update,38
tamil 2 written,37
kay 2 written,37
tripathi vivek dahiya,36
new tv show,35
dance reality show,35
prime time tv,35
boss 12 day,35
karan singh grover,35
bigg boss 5,35
siya ke ram,34
bou written update,33
phagun bou written,33
enter bigg boss,33
zindagi ki mehek,32
onnum onnum moonnu,32
boss 10 contestant,32
kasthooriman written update,32
boss kannada 6,31
former bigg boss,31
koffee karan season,31
nandini written update,31
pagal nilavu written,30
rashmoni written update,30
kannada 6 written,30
nilavu written update,30
porus written update,30
rani rashmoni written,30
bigg boss contestants,30
karan season 5,30
ek duje ke,29
bigg boss 6,29
dance india dance,29
se dil tak,28
dil se dil,28
turns year older,27
ki mehek written,27
kim kardashian kanye,27
mehek written update,27
boss kannada season,27
yeh hai aashiqui,27
indian idol junior,27
bepannaah written update,26
duje ke vaaste,26
bigg boss nau,26
bhar written update,26
gopal bhar written,26
bepannah written update,25
big bang theory,25
update august 15,25
vanambadi written update,25
khan bigg boss,24
itna karo na,24
kardashian kanye west,24
boss 12 written,23
2016 written update,23
update july 10,23
12 written update,23
wild card entry,23
11 written update,23
karo na mujhe,23
saturday night live,22
kim kardashian west,22
li l champs,22
written update dev,22
ek tha raja,22
update september 13,22
win bigg boss,21
update november 8,21
world television premiere,21
nach baliye 8,21
rahul raj singh,21
kannada season 6,21
update november 15,20
update december 21,20
na mujhe pyar,20
written update sona,20
voice india kids,20
ek thi rani,20
naamkaran written update,20
tha raja ek,20
raja ek thi,20
update september 28,20
update july 17,20
november 7 2018,20
badi dooooor se,20
se aaye hai,19
tak written update,19
boss 12 preview,19
2018 naira kartik,19
show written update,19
ghar par hai,19
dil tak written,19
update september 11,19
update september 21,19
sharma show written,19
dooooor se aaye,18
saath nibhaana saathiya,18
pyaar ki written,18
november 8 2018,18
tere pyaar ki,18
thrones season 7,18
kbc 10 highlights,18
update november 7,18
jee le zara,18
update august 17,18
boss 11 written,18
kasam tere pyaar,18
update december 20,17
september 21 2018,17
completes 100 episodes,17
lesser known facts,17
na bole tum,17
11 hina khan,17
inside bigg boss,17
iss pyaar ko,17
boss 11 hina,17
update november 2,17
update june 13,17
bade achhe lagte,17
sarabhai vs sarabhai,16
august 15 2018,16
ko kya naam,16
june 13 2018,16
bigg boss season,16
kya naam doon,16
nibhana saathiya written,16
update july 14,16
update may 31,16
update november 26,16
american horror story,16
august 2017 episode,16
ke dev mahadev,16
update september 20,16
devon ke dev,16
achhe lagte hain,16
saathiya written update,16
october 30 2018,16
september 13 2018,16
weekend ka vaar,16
india raw star,16
update november 14,16
kuch bhi karega,15
sushant singh rajput,15
update june 29,15
november 2 2018,15
update may 18,15
update december 25,15
july 10 2018,15
update september 27,15
back small screen,15
comedy nights live,15
update may 10,15
hum ne li,15
nach baliye 7,15
boss telugu season,15
november 26 2018,15
update october 19,15
liye kuch bhi,15
television premiere sunday,15
ji ghar par,15
li hai shapath,15
update july 3,15
update december 19,15
ke liye kuch,15
update august 24,15
update june 15,15
october 22 2018,14
dikhhla jaa 9,14
update october 17,14
tarak mehta ka,14
ishqbaaaz written update,14
tv celebs share,14
kehta hai dil,14
update september 6,14
october 17 2018,14
update december 22,14
update may 30,14
shweta basu prasad,14
update may 15,14
update december 14,14
ne li hai,14
karan patel ankita,14
india best dramebaaz,14
update december 26,14
update may 17,14
update december 15,14
putta gowri maduve,14
update november 29,14
update june 22,14
flaunts baby bump,13
december 2017 written,13
update july 11,13
dil jee le,13
update august 22,13
october 10 2018,13
august 13 2018,13
update april 20,13
make tv debut,13
make bollywood debut,13
hai dil jee,13
thrones season 6,13
entertainment ke liye,13
update october 30,13
october 16 2018,13
update june 1,13
hai mohabbatein may,13
update august 29,13
october 19 2018,13
weekly tv news,13
update december 5,13
suhane ladakpan ke,13
september 28 2018,13
june 29 2018,13
update august 27,13
banega crorepati 9,13
patel ankita bhargava,13
sapne suhane ladakpan,13
sarah jessica parker,13
bigg boss winner,13
host bigg boss,13
2018 kartik naira,13
reality tv show,13
7 2017 written,13
update june 21,13
update september 15,13
bade achhe laggte,13
update october 10,13
update october 31,13
update july 2,13
august 27 2018,13
july 2 2018,13
september 11 2018,13
update july 7,13
anupam kher show,13
update october 23,13
ghar par hain,13
pyaar ko kya,13
update august 13,13
update december 28,13
returns small screen,13
update june 27,13
september 20 2018,12
update december 27,12
kim kardashian wants,12
october 25 2018,12
july 17 2018,12
salman yusuff khan,12
aise bhi may,12
may 15 2018,12
kamaal r khan,12
achhe laggte hain,12
june 22 2018,12
update may 23,12
tu mera hero,12
dus ka dum,12
yam hain hum,12
update december 12,12
update november 1,12
make acting debut,12
update june 18,12
files police complaint,12
may 21 2018,12
september 2017 episode,12
november 19 2018,12
makes tv debut,12
update july 16,12
written update adi,12
update january 26,12
october 31 2018,12
october 29 2018,12
august 17 2018,12
bigg boss pooja,12
update july 4,12
april 27 2018,12
november 15 2018,12
update may 21,12
update august 23,12
new comedy show,12
update may 24,12
sach ka saamna,12
july 2017 episode,12
update august 21,12
pyaar ka dard,12
2018 shivaay anika,12
koffee karan 6,12
update may 1,12
update july 6,12
update april 27,12
update october 12,12
pa li l,11
kushal tandon gauahar,11
music reality show,11
june 18 2018,11
ga pa li,11
season 6 day,11
update november 6,11
dhhai kilo prem,11
new game show,11
aise bhi june,11
6 2017 written,11
yeh vaada raha,11
bole tum na,11
sanaya irani mohit,11
aashiqui tumse hi,11
part bigg boss,11
update december 16,11
update august 8,11
update june 28,11
update december 4,11
aise bhi august,11
october 8 2018,11
irani mohit sehgal,11
reality tv star,11
update october 16,11
update june 24,11
bahu hamari rajni_kant,11
2018 abhi pragya,11
meri aashiqui tumse,11
may 17 2018,11
tie knot soon,11
host salman khan,11
written update thapki,11
sony entertainment television,11
update october 22,11
dream come true,11
update june 16,11
tandon gauahar khan,11
update june 30,11
doli armaanon ki,11
update july 5,11
september 24 2018,11
host tv show,11
update september 14,11
update july 13,11
salman khan bigg,11
may 24 2018,11
hawa yeu dya,11
box cricket league,11
kapil sharma new,11
update november 19,11
expecting first child,11
chala hawa yeu,11
comedy circus ke,11
update august 25,11
may 10 2018,11
update july 19,11
update september 5,10
telugu season 2,10
blessed baby girl,10
come face face,10
rule prime time,10
merchantt suyyash rai,10
prime time soaps,10
july 10 2017,10
update september 19,10
update november 27,10
update october 11,10
update june 6,10
july 3 2018,10
khan kushal tandon,10
update july 27,10
ekk nayi pehchaan,10
tie knot next,10
update november 21,10
aashiqui tum se,10
july 14 2018,10
koffee karan 5,10
update april 26,10
update september 23,10
kapoor sakshi tanwar,10
update september 1,10
bigg boss fame,10
kishwer merchantt suyyash,10
veer putra maharana,10
boss 5 day,10
miss diva universe,10
update may 29,10
eliminated khatron ke,10
pehredaar piya ki,10
november 5 2018,10
tum se hi,10
update april 25,10
ka veer putra,10
update october 25,10
bhabiji ghar par,10
pyar ki june,10
boss pooja gandhi,10
update december 8,10
woman nia sharma,10
update june 14,10
ram kapoor sakshi,10
enter hitler didi,10
mere angne mein,10
orange new black,10
march 01 2018,10
saas bhi kabhi,10
circus ke mahabali,10
update august 18,10
tashan e ishq,10
august 29 2018,10
chakravartin ashoka samrat,10
anil kapoor 24,10
thapki pyaar ki,10
ke vaaste written,10
putra maharana pratap,10
update may 19,10
completes 500 episodes,10
may 18 2018,10
vaaste written update,10
update november 16,10
update february 16,10
meri aashiqui tum,10
update march 01,10
july 27 2018,10
tum na maine,10
update may 22,10
update december 18,10
september 10 2018,10
boss 12 december,10
kyunki saas bhi,10
11 2017 written,10
update september 24,10
update september 10,10
august 22 2018,10
new year eve,10
sexiest asian woman,10
july 16 2018,10
january 26 2018,10
siddharth kumar tewary,10
aishwarya rai bachchan,10
april 26 2018,10
malaika arora khan,10
update april 23,10
small screen big,10
completes 200 episodes,10
28 2017 written,10
december 21 2018,10
december 25 2018,10
bhabi ji ghar,10
july 19 2018,10
update august 11,10
update september 29,10
update june 26,10
october 15 2018,10
update november 20,10
april 28 2017,9
update december 7,9
august 15 2017,9
dipika kakar shoaib,9
kabhi bahu thi,9
roadies xtreme written,9
written update ishwari,9
gowri maduve written,9
update february 28,9
september 6 2018,9
na maine kuch,9
april 25 2018,9
july 11 2017,9
update january 25,9
update june 5,9
hum hai na,9
september 3 2018,9
bhi kabhi bahu,9
june 24 2018,9
new time slot,9
update july 24,9
karan v grover,9
april 14 2017,9
june 25 2018,9
update november 22,9
saif ali khan,9
update may 28,9
ki beti nandini,9
wins bigg boss,9
may 23 2018,9
written update ishita,9
june 16 2018,9
bigg boss 4,9
written episode update,9
update june 17,9
update october 18,9
new captain house,9
xtreme written update,9
update october 15,9
24 season 2,9
jhalak dikhla jaa,9
crorepati 9 episode,9
kay written update,9
november 29 2017,9
bharat ka veer,9
september 26 2017,9
update may 26,9
update may 11,9
post bigg boss,9
ke khiladi 8,9
looks smoking hot,9
update december 1,9
ek ishq ek,9
aise bhi march,9
pyar ki may,9
june 27 2018,9
reality tv shows,9
evicted bigg boss,9
pyar ki july,9
november 6 2018,9
asian woman nia,9
kumkum bhagya august,9
update august 31,9
maduve written update,9
may 29 2017,9
