3_grams,Frequency
heart attack risk,20
breast cancer risk,18
light years away,15
heart disease risk,15
international space station,15
may help treat,14
mars orbiter mission,13
000 years ago,9
drug resistant tb,9
million year old,8
billion years ago,8
may help fight,8
simple blood test,8
000 year old,8
risk heart attack,8
earth like planets,8
000 yr old,7
cups coffee day,7
blood test tell,7
scientists discover new,7
cancer risk study,7
million years ago,7
new tech may,6
blood test detect,6
first 3d printed,6
risk heart disease,6
birth control pills,6
saturn moon titan,6
stem cell therapy,6
indian origin scientist,6
finds new study,5
may hold key,5
help live longer,5
blood test spot,5
key long life,5
help blind see,5
spacex lands rocket,5
cause stunting children,5
comet lander philae,5
may help diagnose,5
million years old,5
bacteria overgrowth could,5
comes closer reality,5
overgrowth could major,5
nasa curiosity rover,5
high blood pressure,5
detect breast cancer,5
may help reduce,5
could major cause,5
heart disease study,5
nasa probe spots,5
may help prevent,5
major cause stunting,5
lead memory loss,5
help shed kilos,5
type 2 diabetes,5
beyond solar system,5
live longer study,5
world first 3d,5
turn sperm tap,5
mars curiosity rover,4
step closer reality,4
sars like virus,4
rocket ocean platform,4
gets step closer,4
want lose weight,4
e cigarettes may,4
scientists create world,4
help treat alzheimer,4
solar impulse 2,4
predict heart attacks,4
total solar eclipse,4
blood test predict,4
scientists find new,4
billion light years,4
says new study,4
risk heart attacks,4
scientists develop new,4
help treat cancer,4
sperm tap part,4
stem cells help,4
therapy may help,4
cut cancer risk,4
drug may help,4
stem cells may,4
high blood sugar,4
cuts heart attack,4
lands rocket ocean,4
gravitational waves discovery,4
scientists claim breakthrough,4
drug resistant malaria,4
nasa juno probe,4
chinese scientists discover,4
nasa finds giant,4
years ago study,4
ups cancer risk,4
stem cell jab,4
help fight cancer,4
dwarf planet ceres,4
low sperm count,4
breast cancer drug,4
building blocks life,4
could help fight,4
boost brain power,4
cut diabetes risk,4
last ice age,3
way black hole,3
keep cancer away,3
10 billion years,3
blood stem cells,3
could help treat,3
drug offers hope,3
add 2 years,3
women prefer men,3
scientists crack genetic,3
detect lung cancer,3
scientists create first,3
gets us patent,3
may power future,3
star wars like,3
new dinosaur species,3
eat less live,3
health risk study,3
2 years life,3
new ebola vaccine,3
test detect cancer,3
pluto moon charon,3
risk breast cancer,3
head neck cancer,3
blood test may,3
stem cells cure,3
risk kidney disease,3
4 cups coffee,3
trial aids vaccine,3
early death study,3
energy drinks may,3
hepatitis c cure,3
may help cure,3
may help blind,3
blood sugar levels,3
universal flu vaccine,3
sets new record,3
smokers higher risk,3
saturn biggest moon,3
great red spot,3
key cancer cure,3
new blood test,3
behind milky way,3
human head transplant,3
100 times faster,3
lung cancer risk,3
lack sleep tied,3
human trial aids,3
crack genetic code,3
new way beat,3
may help combat,3
50 million years,3
live longer eat,3
weight loss surgery,3
likely live longer,3
cancer finds study,3
could lead cancer,3
first malaria vaccine,3
test detect alzheimer,3
low self esteem,3
antarctic sea ice,3
sun magnetic field,3
tech may help,3
day may keep,3
heart disease diabetes,3
year old girl,3
risk early death,3
cells fight hiv,3
milky way black,3
400 yr old,3
keep dentist away,3
google doodle celebrates,3
rover mars 2020,3
obesity could lead,3
platform first time,3
help lose weight,3
10 000 years,3
man best friend,3
virtual reality therapy,3
heart stem cells,3
may cause cancer,3
embryonic stem cells,3
violent video games,3
test may help,3
want live longer,3
birth control pill,3
air pollution may,3
trigger heart attack,3
x ray vision,3
fight heart attacks,3
manned space mission,3
ups risk heart,3
500 yr old,3
help kick butt,3
treat alzheimer study,3
key healthy heart,3
women live longer,3
human stem cells,3
dark side moon,3
may become reality,3
mental health study,3
cut risk stroke,3
cuts breast cancer,3
first penis transplant,3
nasa planet hunting,3
prevent heart attack,3
help detect cancer,3
create world smallest,3
shed extra kilos,3
new drug may,3
ocean platform first,3
cure common cold,3
could support life,3
could hold key,3
stem cell transplant,3
new rover mars,3
blood clot risk,3
anti diabetic drug,3
stem cell cure,3
space station astronauts,3
invisibility cloak reality,3
coffee may cut,3
fat cause heart,2
solve energy crisis,2
giant radio telescope,2
indian american scientist,2
hint spinal disorders,2
giving birth planets,2
100 years einstein,2
test detect tb,2
anti cancer drug,2
robots self assemble,2
new way produce,2
mission next month,2
jab may aid,2
new earth size,2
may treat heart,2
protein diet help,2
drug erase bad,2
follicles cure baldness,2
erase bad memories,2
cancer risk children,2
sci fi reality,2
first baby born,2
help cure lazy,2
help stay slim,2
15 year old,2
molecular diagnostics cancer,2
fly probe life,2
approve women viagra,2
huge ice deposits,2
detect drug resistant,2
mars bound astronauts,2
found narmada valley,2
diagnostics cancer patients,2
100 billion planets,2
heart defects found,2
drdo scientists develop,2
nasa spacecraft set,2
43 percent us,2
aids vaccine trials,2
nasa spacecraft arrives,2
bats may hold,2
blood test find,2
help hearing impaired,2
double blood clot,2
pune scientists discover,2
india heaviest satellite,2
leads bad decisions,2
indus valley civilization,2
dinosaur fossils found,2
many instruments useless,2
feel young get,2
blackest material ever,2
radio bursts scientists,2
near milky way,2
name asteroid nasa,2
anti malaria drug,2
cities getting hotter,2
new treatment may,2
better fresh ones,2
help fight obesity,2
bacteria may help,2
urges widening learning,2
smoking drinking affect,2
orbit raising manoeuvre,2
new class cholesterol,2
dust glaciers flayed,2
artificial intelligence could,2
star trek like,2
jupiter great red,2
fix heart illness,2
fight hiv better,2
3d printed houses,2
cut heart attack,2
want shed kilos,2
year old human,2
billion kms away,2
new test detect,2
genome may help,2
gamma ray burst,2
squids octopus found,2
study finds link,2
jab help kick,2
increases heart disease,2
found protein could,2
keeps wrinkles away,2
scientists may finally,2
identical twins genetically,2
get good night,2
young get green,2
key facts zika,2
fight malaria study,2
first hiv self,2
altering mosquito genome,2
breast cancer spread,2
people likely die,2
sixth mass extinction,2
hope aids cure,2
blood test help,2
car reads mind,2
good night sleep,2
changes brain study,2
takes giant leap,2
injury 43 percent,2
probe spots possible,2
lost world discovered,2
500 year old,2
married live longer,2
scientists isolate algae,2
women sleep better,2
oceans 200m years,2
need 5 friends,2
new weapon war,2
sleeping pills help,2
solar system discovered,2
hopes new class,2
hi tech way,2
life saturn moon,2
low fat diet,2
breathe easy space,2
likely die early,2
doctor miss beat,2
human face shaped,2
lead dengue jab,2
virgin galactic spaceship,2
breast cancer patients,2
may heart attack,2
mega solar storm,2
ice age beasts,2
beat arthritis pain,2
june sun block,2
may impair facial,2
high risk heart,2
7 000 years,2
returns earth loaded,2
prevent colon cancer,2
alien life found,2
lab grown skin,2
want stay thin,2
outside solar system,2
scientists discover gene,2
mom gives birth,2
hungry black hole,2
gene find may,2
year old fossil,2
bigger thought study,2
new alzheimer drug,2
embryos better fresh,2
capable producing biofuel,2
skip meals binge,2
total lunar eclipse,2
skin cells help,2
brain tumour found,2
due climate change,2
record distant galaxy,2
passages kept brains,2
money buy happiness,2
risk type 2,2
uruguay storms kill,2
indian origin doctor,2
found first time,2
mars mission launch,2
millions years fighting,2
affect mental health,2
brains men study,2
signs life found,2
offer peek brain,2
diabetes risk study,2
orbiter mission set,2
seasons stars guide,2
likely lie cheat,2
new species found,2
among children rise,2
chewing gum help,2
still long way,2
breast cancer gene,2
cancer risk women,2
drink day ups,2
birthmarks back may,2
back may hint,2
us ex football,2
workshop use media,2
less likely die,2
may reveal personality,2
cusat scientists isolate,2
india lags behind,2
media health promotion,2
anxiety leads bad,2
high protein diet,2
life mars nasa,2
raises risk heart,2
5 year old,2
probe life enceladus,2
moon power earth,2
ups diabetes risk,2
finds solar system,2
make kids choose,2
linked mental illness,2
new diabetes drug,2
linked skin cancer,2
da vinci code,2
girls skip meals,2
kill cancer cells,2
linked birth defects,2
face shaped millions,2
new tech help,2
new hope patients,2
prostate cancer study,2
nasa orion spacecraft,2
tied early death,2
30 000 yr,2
chocolates stay slim,2
may help us,2
smallest hearing aid,2
day keeps cancer,2
solar system first,2
poor sleep may,2
