2_grams,Frequency
000 tamil,3
supreme court,3
visit nepal,3
years ago,3
3 days,3
18 killed,3
manmohan singh,3
hindi war,3
fight taliban,3
pm sushil,3
explosion rocks,3
years jail,3
bad weather,3
nepal last,3
philippines duterte,3
hits bangladesh,3
says taliban,3
sentenced death,3
thai junta,3
nepal border,3
bangladesh violence,3
nepal floods,3
afghanistan suicide,3
capital kabul,3
woman chief,3
24 killed,3
sarath fonseka,3
catches fire,3
campaign nepal,3
helicopter crash,3
ltte men,3
nepal church,3
mass grave,3
indonesian president,3
afghanistan pakistan,3
10 killed,3
war criminal,3
taliban siege,3
spend night,3
new lanka,3
taliban storm,3
kills seven,3
china visit,3
tamil party,3
arrested sri,3
15 killed,3
president ashraf,3
south nepal,3
king nepal,3
rohingya return,3
may face,3
indonesian plane,3
bangladesh president,3
afghanistan peace,3
bangladesh seeks,3
life death,3
top cop,3
fake currency,3
visa arrival,3
dhaka terror,3
consulate jalalabad,3
nepal gays,3
bigg boss,3
myanmar military,3
maoists win,3
lanka clashes,3
dead scores,3
us troops,3
floods mudslides,3
jolt nepal,3
15 years,3
tremors hit,3
un calls,3
voting begins,3
president asks,3
china india,3
among 15,3
afghan presidential,3
13 killed,3
terror bangladesh,3
national alliance,3
quake kills,3
president says,3
war india,3
least 43,3
nepal bridge,3
violence bangladesh,3
talks nepal,3
fire kills,3
urges myanmar,3
nepal goes,3
nato soldier,3
three killed,3
indians killed,3
arrest warrant,3
crash kills,3
seeks india,3
feared dead,3
quake toll,3
eight dead,3
bangladesh coup,3
lankan tamils,3
dhaka attack,3
war crime,3
mass graves,3
taliban afghanistan,3
india says,3
nato soldiers,3
nirupama rao,3
maithripala sirisena,3
nepal china,3
probe war,3
un envoy,3
attack nato,3
nepal vice,3
civilian casualties,3
forces kill,3
eid ceasefire,3
afghanistan says,3
bangladesh sc,3
bangladesh election,3
un asks,3
dead nepal,3
asks india,3
days nepal,3
taliban leader,3
bus plunges,3
kabul attack,3
un official,3
prabhakaran may,3
free trade,3
ltte lanka,3
asylum seekers,3
general election,3
form govt,3
toll bangladesh,3
parties hold,3
peace pact,3
20 missing,3
says afghan,2
passportgate india,2
taliban terror,2
parties agree,2
afghan envoy,2
army fresh,2
jamaat chief,2
lanka defence,2
demands probe,2
chief prabhakaran,2
lanka anti,2
government working,2
graft case,2
kills four,2
drone attack,2
china sign,2
sushma swaraj,2
wait watch,2
top let,2
monarchy nepal,2
bridge china,2
indian prince,2
bangladesh amid,2
mild tremor,2
meets nepal,2
nihita biswas,2
ready quit,2
least 10,2
google executive,2
port deal,2
quake rocks,2
indian mission,2
taliban attacks,2
commonwealth meet,2
asks bangladesh,2
india must,2
tigers killed,2
missing us,2
lanka probe,2
shooting spree,2
afghan war,2
prachanda tape,2
seven killed,2
koirala dies,2
offer amnesty,2
nasheed supporters,2
nepal top,2
sl troops,2
crashes nepal,2
chief arrested,2
gangraped nepal,2
election body,2
afghanistan official,2
plane skids,2
convoy kabul,2
missing landslide,2
pakistan bangladesh,2
wants india,2
terror groups,2
nepal nun,2
sea islands,2
base camp,2
ex crown,2
church blast,2
kathmandu airport,2
set ink,2
suicide attacks,2
taliban qaida,2
bdr mutiny,2
leader arrested,2
found afghan,2
provincial polls,2
mohamed nasheed,2
crowded bus,2
nepal ruling,2
warring parties,2
ruling parties,2
let militant,2
india made,2
media baron,2
hospital nepal,2
lanka jails,2
amendment bill,2
heads poll,2
lanka wants,2
gets bail,2
flying nepal,2
state emergency,2
pilgrims killed,2
lanka bans,2
big jets,2
commander killed,2
lanka turns,2
indian among,2
attack 3,2
pro opposition,2
military operations,2
us would,2
deal india,2
killed 10,2
congress emerges,2
nepal mp,2
west nepal,2
high alert,2
opposition enforces,2
president visits,2
cross border,2
haunt nepal,2
tamil areas,2
pound flesh,2
independence day,2
nepal human,2
3 day,2
genocide bangladesh,2
bangladesh govt,2
un vote,2
state media,2
international probe,2
obama karzai,2
top leaders,2
tv host,2
20 000,2
jamaat stalwart,2
allow anti,2
50 afghan,2
nine militants,2
spy chief,2
000 people,2
maoists nepal,2
tibetan govt,2
behind kabul,2
meet rajapaksa,2
taliban peace,2
nepal still,2
groups target,2
kill 9,2
travel ban,2
india banks,2
taliban bomb,2
bomber targets,2
wounds 70,2
martial fonseka,2
earthquake victims,2
former army,2
pm begins,2
blast nepal,2
towards peace,2
fiancee lawyer,2
injured bnp,2
body found,2
nepal air,2
un rights,2
pope francis,2
rahul gandhi,2
return home,2
people injured,2
valentine day,2
saturday deadline,2
clashes police,2
myanmar votes,2
philippine president,2
asks maoists,2
govt ltte,2
amnesty tigers,2
indian currency,2
8 magnitude,2
ltte using,2
snap election,2
govt says,2
bus crash,2
jailed bangladesh,2
new law,2
pakistan must,2
forces fight,2
kabul blast,2
plane catches,2
nuclear bomb,2
blogger killed,2
ltte political,2
nepal vows,2
73 year,2
court decide,2
nepal toll,2
nepal get,2
maoists threaten,2
civilians officials,2
birendra assassin,2
statute deadline,2
join hands,2
mosque kabul,2
back taliban,2
people spend,2
nepal probes,2
violence hit,2
year one,2
ethnic war,2
civilians us,2
party meet,2
special court,2
bomb hits,2
ties maldives,2
since 2010,2
nepal power,2
police raid,2
vows allow,2
6 dead,2
lankan air,2
ltte fight,2
bangladesh hc,2
ltte vows,2
base attack,2
stoned anti,2
taliban fighters,2
power struggle,2
house attacked,2
presidential palace,2
bomb targets,2
pak army,2
least eight,2
earthquake magnitude,2
sex scandal,2
india would,2
bangladesh kills,2
south block,2
northern provincial,2
ec rejects,2
10 points,2
troops capture,2
woman top,2
afghan soldiers,2
us chopper,2
sacks army,2
magnitude hits,2
tokyo tsunami,2
grenade attack,2
afghan base,2
army officers,2
25 years,2
killed bomb,2
afghan govt,2
nepal next,2
members islamist,2
shot kathmandu,2
