3_grams,Frequency
assembly elections 2018,223
delhi elections 2015,197
rajasthan assembly elections,142
telangana assembly elections,132
madhya pradesh assembly,81
pradesh assembly elections,68
bihar election results,66
delhi election 2015,62
elections 2015 results,54
mulayam singh yadav,43
election results 2015,40
pm narendra modi,36
election results 2018,34
delhi assembly elections,31
aam aadmi party,26
elections 2015 aap,26
shivraj singh chouhan,25
assembly elections 2015,23
navjot singh sidhu,23
assembly elections 2017,21
captain amarinder singh,20
delhi election 2013,20
results 2015 bjp,20
bihar election 2015,20
pradesh assembly polls,19
madhya pradesh elections,18
election results bihar,17
elections bihar election,17
madhya pradesh election,17
2015 bihar election,17
himachal pradesh assembly,17
bihar elections bihar,17
poll code violation,17
results bihar election,17
election 2015 bihar,17
election results 2013,16
punjab assembly elections,16
gujarat assembly elections,16
pradesh election results,16
bihar election result,16
2015 bjp nda,15
elections 2018 congress,15
telangana election results,13
assembly elections 2014,13
pradesh assembly election,13
says rahul gandhi,13
poll bound states,13
minister narendra modi,12
election 2015 bjp,12
elections 2015 bjp,12
assembly election results,12
prime minister narendra,12
elections results 2015,12
rajasthan assembly polls,12
delhi elections results,12
delhi election results,11
parkash singh badal,11
rajasthan election results,11
assembly elections congress,11
k chandrasekhar rao,11
rajasthan assembly election,11
elections 2014 bjp,11
assembly elections bjp,10
delhi assembly election,10
lok sabha polls,10
sukhbir singh badal,10
assembly election 2015,10
gujarat election result,10
assembly polls 2018,10
sp congress alliance,10
modi amit shah,9
elections 2015 kiran,9
exit polls predict,9
election 2015 aap,9
results 2018 congress,9
assembly election 2018,9
uttam kumar reddy,9
narendra modi says,9
high voter turnout,8
shiromani akali dal,8
samajwadi party congress,8
per cent polling,8
first time voters,8
2015 results kejriwal,8
uttar pradesh polls,8
2015 kiran bedi,8
delhi assembly polls,8
candidates file nominations,8
narendra modi amit,8
says amit shah,8
pm modi says,7
elections 2015 kejriwal,7
results 2013 bjp,7
jd u rjd,7
amethi rae bareli,7
okram ibobi singh,7
j k polls,7
cm arvind kejriwal,7
j k jharkhand,7
goa polls 2017,7
j k govt,7
madhya pradesh polls,7
j k assembly,7
congress first list,7
bjp releases manifesto,6
elections 2018 kcr,6
