3_grams,Frequency
sri lanka president,9
sri lankan president,9
ltte rebels killed,7
new nepal pm,7
aung san suu,7
san suu kyi,7
myanmar suu kyi,6
nepal plane crash,6
pm sheikh hasina,5
hacked death bangladesh,5
blast near indian,5
dhaka cafe attack,5
1971 war crimes,5
sri lankan army,5
militants killed afghanistan,5
earthquake hits nepal,4
bangladesh pm hasina,4
south china sea,4
maldives ex president,4
bomb attack kills,4
opposition leader khaleda,4
nepal army chief,4
leader death sentence,4
quake hit nepal,4
bangladesh top court,4
sri lanka army,4
near kabul airport,4
taliban attack afghan,4
suicide bomber kills,4
nepal peace process,4
leader khaleda zia,4
nepal vice president,3
death toll bangladesh,3
wife mother law,3
near indian consulate,3
death toll rises,3
near indian embassy,3
suicide car bomb,3
arrested sri lanka,3
sobhraj wife mother,3
probe war crimes,3
suicide attack kills,3
upholds death sentence,3
afghan capital kabul,3
nepal pm poll,3
nepal last king,3
killed us drone,3
car bomb attack,3
pm sushil koirala,3
sri lankan pm,3
nepal bus accident,3
elect new pm,3
bangladesh pm sheikh,3
new afghan president,3
sri lanka crisis,3
nepal child soldiers,3
indian consulate jalalabad,3
killed sri lanka,3
end political crisis,3
top court upholds,3
president ashraf ghani,3
new maldives president,3
dead scores missing,3
nepal asks india,3
upholds islamist leader,3
begins nepal visit,3
shot dead bangladesh,3
nepal pm visit,3
killed nepal bus,3
bus accident nepal,3
roadside bomb kills,3
islamist leader death,3
tamil national alliance,3
first woman chief,3
bangladesh general election,3
court upholds islamist,3
woman chief justice,3
indian embassy kabul,3
khaleda zia son,3
suicide blast kills,3
sri lanka pm,3
lanka president rajapaksa,3
china sea case,2
suicide bomber targets,2
kills 11 members,2
mass graves unearthed,2
top let militant,2
loan sri lanka,2
ltte child soldiers,2
japan bullet train,2
mild earthquake hits,2
first woman top,2
kabul guesthouse siege,2
among 15 killed,2
pranab mukherjee visit,2
fails elect new,2
morning rush hour,2
nepal pm fire,2
bangladesh election day,2
kabul suicide attack,2
east china sea,2
based terror groups,2
emerges largest party,2
bangladesh upholds death,2
new envoy india,2
afghan officials taliban,2
nepal pm quit,2
afghan army helicopter,2
sri lanka tamil,2
sri lankan presidential,2
quake ravaged nepal,2
killed bangladesh violence,2
killed lankan troops,2
nepal bridge china,2
five dead kabul,2
sri lankan govt,2
congress emerges largest,2
nepal cable tv,2
court upholds death,2
lanka prime minister,2
army helicopter crashes,2
nepal earthquake devastation,2
lankan army captures,2
sri lanka braces,2
jailed bangladesh ex,2
maldives elect new,2
lanka civil war,2
sri lanka prime,2
google executive among,2
lankan army recovers,2
nepal goes polls,2
nepal seeks india,2
indian army chief,2
rush hour blasts,2
lanka goes polls,2
key taliban commander,2
year old man,2
islamist leader dies,2
thai junta leader,2
killed kabul car,2
jamaat chief 1971,2
suspected islamist militants,2
elect new president,2
among hundreds dead,2
suu kyi eyes,2
sri lanka india,2
soil used terror,2
people board missing,2
bangladesh ruling party,2
maoists call nepal,2
islamist blogger killed,2
least 13 dead,2
stoned anti maoist,2
nepal pashupatinath temple,2
china free trade,2
dead nepal quake,2
sri lankan parliament,2
diplomat shot dead,2
tourist buddha tattoo,2
pm visit india,2
returns haunt nepal,2
new ltte chief,2
afghanistan says taliban,2
attack indian consulate,2
suu kyi party,2
indian priests pashupatinath,2
sri lanka probe,2
indian consulate afghanistan,2
seeks us help,2
international probe war,2
national alliance wins,2
india interests afghanistan,2
cross border rail,2
china sea islands,2
animal sacrifice nepal,2
blogger hacked death,2
vows allow anti,2
kills least 10,2
sacks army chief,2
airport big jets,2
bomb kills 11,2
call nepal bandh,2
2 quake hits,2
8 year old,2
toll hits 47,2
bangladesh opposition leader,2
new nepal government,2
nepal vows allow,2
election referendum end,2
lanka pm wickremesinghe,2
1971 war criminal,2
nepal cabinet expanded,2
calls fresh polls,2
kandahar kills 5,2
6 8 magnitude,2
nepal sacks army,2
pm ranil wickremesinghe,2
target india interests,2
attack kills 1,2
bangladesh 2 killed,2
plane catches fire,2
madhesi parties hold,2
woman tv journalist,2
taliban militants killed,2
afghan president ashraf,2
ferry capsizes bangladesh,2
rebels killed fierce,2
suu kyi heads,2
despite un warnings,2
issues arrest warrant,2
nepal pm prachanda,2
rebels killed sri,2
people spend night,2
lanka braces protest,2
may offer amnesty,2
lankan president maithripala,2
ahead pm poll,2
us asks bangladesh,2
nepal hindi war,2
tremors felt nepal,2
killed afghan airstrike,2
islamic state seizes,2
pm narendra modi,2
kim jong nam,2
former pm khaleda,2
nepal pm post,2
sri lankan forces,2
ex islamist leader,2
prachanda secretly meets,2
executive among hundreds,2
6 0 magnitude,2
least eight dead,2
former army chief,2
afghan special forces,2
nepal maoists seek,2
nepali congress emerges,2
former maldives president,2
taliban siege kabul,2
attack kills seven,2
sobhraj fiancee lawyer,2
bangladesh police arrest,2
plane skids runway,2
73 year old,2
afghanistan kills least,2
british tourist buddha,2
new lanka president,2
fails get new,2
ban ki moon,2
becomes nepal new,2
tremors jolt nepal,2
bus plunges river,2
sri lanka asks,2
bomb kabul kills,2
afghan suicide attack,2
nepal pm begins,2
snap election referendum,2
protests 16 districts,2
maldives top court,2
us drone strike,2
pro ltte party,2
nepal human rights,2
anti maoist protests,2
crown prince paras,2
lanka president aide,2
president mohamed nasheed,2
rebels killed lankan,2
pm india visit,2
army chief fonseka,2
nepal quake victims,2
year old japanese,2
court martial fonseka,2
end rohingya crisis,2
gangraped nepal nun,2
begins sri lanka,2
nepal parliament set,2
lanka war zone,2
afghanistan suicide attack,2
helicopter crashes killing,2
2004 grenade attack,2
bomb blast near,2
storm afghan police,2
pm poll fails,2
allow anti india,2
nepal pm india,2
ahead india trip,2
lanka army chief,2
kills least 30,2
air base afghanistan,2
7 1 magnitude,2
philippine president rodrigo,2
nepal ex crown,2
allow soil used,2
cable tv operators,2
anti islamist blogger,2
nepal quake toll,2
killed suicide attack,2
death toll nepal,2
maoist protests 16,2
lankan war crimes,2
nepal ex royals,2
crisis lanka president,2
factory fire kills,2
kyi heads poll,2
nepal shuts airport,2
nepal apex court,2
kills 1 near,2
car bomb targets,2
people war nepal,2
nepal air crash,2
gay indian prince,2
near china border,2
nepal first woman,2
maoist chief prachanda,2
nepal get new,2
arrives sri lanka,2
ltte chief prabhakaran,2
chief 1971 war,2
hundreds dead nepal,2
bangladesh court upholds,2
un envoy visit,2
visa arrival indians,2
foreign rescue workers,2
taliban commander killed,2
bangladesh central bank,2
bangladesh ex islamist,2
mild tremor felt,2
ex crown prince,2
zia son gets,2
bangladesh building collapse,2
prabhakaran luxury bunker,2
taliban leader mullah,2
