1_grams,Frequency
manisha,236
kick,236
christmas,236
begins,235
oberoi,234
deshmukh,234
five,234
young,233
upcoming,232
kat,232
bikini,232
instagram,231
johnny,231
padmavati,230
end,230
makers,230
arora,230
das,230
harry,230
madhur,230
ay,229
dileep,229
mollywood,229
met,228
gautham,227
slams,227
weight,227
randeep,227
cruise,226
ever,226
thanks,226
theatre,225
krishna,225
soha,225
neetu,224
talk,224
releases,224
nicole,223
raveena,223
brand,223
long,223
2016,223
darshan,222
pay,222
7,221
patel,221
actresses,220
chatterjee,220
eva,220
kajal,220
madhavan,220
6,219
message,219
lara,218
record,218
host,218
ho,218
car,218
daniel,217
lady,217
filmmakers,217
madonna,216
depp,216
stage,216
bang,216
de,215
gandhi,215
arya,215
turned,215
full,215
ryan,215
moves,215
dicaprio,214
boyfriend,214
ban,214
goa,214
four,214
upset,213
varma,213
malaika,212
mr,212
mind,212
20,212
2015,211
politics,211
hospital,211
many,211
puneeth,211
ragini,210
lost,210
horror,209
sanon,209
ka,209
experience,209
ray,208
zinta,208
ramya,207
road,207
genelia,207
kalki,206
dixit,206
launches,206
pannu,206
head,206
fahadh,206
parents,206
stop,206
metoo,205
u,204
emma,204
bebo,204
super,204
rajkummar,204
surprise,204
om,204
york,204
directors,204
journey,204
30,204
game,204
anniversary,204
25,203
celebrities,203
cricket,203
ayushmann,203
favourite,203
lohan,203
bobby,203
around,202
sexual,202
2017,202
controversy,202
pays,202
half,202
million,202
pakistan,202
lucknow,202
ileana,202
person,201
tusshar,201
sachin,200
legal,199
rampal,199
grand,199
welcome,199
law,199
free,198
tie,198
public,198
said,198
enjoys,197
golden,197
keep,197
pregnant,197
grover,197
nargis,196
abhay,196
premiere,196
divya,196
clash,196
holiday,196
visits,196
nayanthara,196
stay,196
rajini,195
sood,195
punjab,195
track,195
madge,195
find,194
leave,193
caught,193
guy,193
coming,192
heads,192
issues,192
2014,192
food,192
ben,191
voice,191
poonam,190
tamannaah,190
rights,189
cool,189
hands,189
rajesh,189
karthi,188
power,188
nivin,188
move,188
reddy,188
ad,188
gopal,187
beauty,187
little,187
emotional,187
bengali,186
faces,185
superstar,185
bharat,185
ghosh,185
vinod,185
exclusive,185
trip,185
sai,185
space,185
jr,185
twinkle,184
katie,184
adorable,184
jha,184
asks,184
couple,184
nothing,184
gauri,184
mukesh,183
club,183
prabhas,183
screens,183
hema,182
took,182
wraps,182
battle,182
justin,182
bigg,181
chiranjeevi,181
things,181
late,180
arbaaz,180
eyes,180
pair,180
model,180
keeps,180
hc,179
called,179
taking,179
six,179
nude,179
arshad,179
king,178
lisa,178
hugh,178
padmaavat,178
row,178
hair,178
sooraj,178
weekend,177
nandita,177
side,177
tabu,177
jaya,177
dubai,176
kangna,176
sing,176
l,175
pancholi,175
produce,175
aditi,174
rekha,174
15,174
characters,174
throwback,173
nikhil,173
musical,173
reunite,173
wars,173
let,173
abhi,173
subhash,173
hooda,173
sara,172
art,172
mirza,172
posh,172
mj,172
x,171
god,171
july,171
jail,171
kabir,171
dilip,171
interesting,170
refuses,170
bombay,170
deal,170
confirms,170
biggest,170
kjo,170
mukerji,169
ring,169
kerala,168
nana,168
fame,168
replaces,168
ratnam,168
keen,168
punjabi,168
highlights,167
praise,167
cute,166
dead,166
promote,166
directorial,166
named,165
manju,165
believe,165
scared,165
completes,165
continues,165
theatres,164
janhvi,164
juhi,164
engaged,164
dhoni,164
found,164
choice,163
gautam,163
hirani,162
vs,162
engagement,162
perform,162
azmi,162
kardashian,162
bengaluru,162
loved,162
reception,162
dia,161
honour,161
upendra,161
filming,161
suresh,161
accident,161
shriya,161
chadha,161
honoured,161
vinay,161
cruz,161
imtiaz,160
cancer,160
jacko,160
ahead,160
earns,159
freida,159
johnson,159
pregnancy,159
v,159
hilton,159
sultan,158
close,158
response,158
missing,158
sri,158
prince,158
small,158
mehta,158
really,158
files,158
ride,158
leonardo,158
smith,157
hope,157
sallu,157
taimur,157
april,157
khurrana,157
screened,157
walk,156
zero,156
used,156
image,156
shweta,156
loses,156
sanju,156
kissing,156
campaign,156
dancing,156
june,156
challenge,156
dabangg,156
sings,156
airport,156
plan,156
fire,155
breaks,155
college,155
gay,155
ahuja,155
surgery,155
pink,155
reality,155
version,155
suicide,154
magic,154
changed,154
connection,154
nagarjuna,154
vacation,154
naseeruddin,153
teja,153
producers,153
2018,153
cause,153
friendship,152
known,152
white,152
mum,151
8,151
brings,151
3d,151
suri,151
abram,151
gwyneth,150
must,150
pandit,150
leg,150
seeks,150
claims,150
due,150
movement,150
political,150
fitness,149
rihanna,149
stand,149
hours,149
megan,149
celebrity,149
cops,149
ceremony,149
yadav,148
affair,148
jaipur,148
important,148
lakh,148
dress,148
official,148
cbfc,148
tattoo,148
nair,148
march,148
fast,148
attack,147
enjoy,147
tough,147
seen,147
ramesh,147
scarlett,147
ghai,146
bhai,146
arpita,146
sunil,146
suniel,146
planning,146
loss,146
writer,146
gold,146
gaga,146
supports,146
sir,146
sports,146
cr,146
heroes,145
rape,145
easy,145
third,145
done,145
miley,145
kristen,145
j,145
pk,145
vishnu,144
performance,144
personal,144
karthik,144
bajpayee,144
fakhri,144
nitin,143
learn,143
series,143
mohan,143
dhupia,143
american,142
julia,142
gujarati,142
quit,142
arun,142
postponed,142
cameron,142
sussanne,142
ke,142
ameesha,142
yami,142
affleck,142
raju,142
trying,141
12,141
entry,141
left,141
calling,141
dies,141
facts,141
narendra,141
jiah,140
injured,140
dinner,140
pm,140
la,140
business,140
jordan,140
malik,140
roll,140
bhandarkar,140
kiran,139
koirala,139
desirable,139
raees,139
charlie,139
prosenjit,138
forward,138
complete,138
pose,138
lee,138
sethupathi,138
collections,138
kelly,138
ramp,137
shivarajkumar,137
paltrow,137
desi,137
uk,137
gifts,137
male,137
french,137
reel,137
anna,137
tandon,137
bajirao,137
crazy,136
begin,136
check,136
pattinson,136
bold,136
speak,136
childhood,136
rajamouli,136
strong,136
kidman,136
24,136
needs,136
likes,136
bhardwaj,135
manish,135
paid,135
casting,135
kylie,135
month,135
winners,135
boys,135
gang,135
nervous,134
popular,134
thought,134
9,134
fox,134
job,134
tour,134
ipl,134
steps,133
offers,133
sarkar,133
huma,133
malini,133
parvathy,133
dhoom,133
chawla,133
dark,133
beyonce,133
mukherjee,133
chandra,132
superhero,132
mastani,132
bring,132
sushmita,132
talent,132
hudson,131
martin,131
hopes,131
guru,131
tale,131
almost,131
poses,130
waiting,130
huge,130
shades,130
held,130
dreams,130
mishra,130
reacts,130
angry,130
celina,130
event,130
hyderabad,129
reasons,129
treat,129
carpet,129
cuts,129
rajeev,129
kashmir,129
august,129
wear,129
match,129
moss,129
sons,128
offered,128
asif,128
express,128
leaves,128
winning,128
rakhi,128
line,128
watching,128
dharmendra,128
teams,128
chemistry,127
minister,127
potter,127
camera,127
shekhar,127
gulshan,127
notice,127
air,127
