2_grams,Frequency
rs 5,7
bengal assembly,7
dimple yadav,7
says cm,7
uttarakhand cm,7
st cruz,7
address rally,7
congress expels,7
bjp tickets,7
hung assembly,7
sirsa dera,7
north gujarat,7
k assembly,7
poll fever,7
polling day,7
nota option,7
poll issue,7
elections 2013,7
2 0,7
postal ballot,7
omar abdullah,7
second list,7
cm arvind,7
chief secretary,7
devendra fadnavis,7
chhattisgarh cm,7
close contest,7
congress promises,7
5 lakh,7
bhagwant mann,7
congress plans,7
muslim vote,7
1st phase,7
campaign congress,7
bsp candidate,7
akhilesh rahul,7
make break,7
voting percentage,7
punjab elections,7
navi mumbai,7
k govt,7
maharashtra elections,7
harish rao,7
bite dust,7
bjp banks,7
amethi rae,7
aam admi,7
achhe din,7
telangana polls,7
poll result,7
poll related,7
okram ibobi,7
gandhi rally,7
says pm,7
phase iii,7
rahul rally,7
lakh new,6
hits back,6
votes today,6
largest party,6
join hands,6
vision document,6
bihar poll,6
poll debacle,6
seats bjp,6
stage set,6
poll pitch,6
oath taking,6
sukhbir badal,6
congress set,6
two rallies,6
party workers,6
bjp election,6
manifesto promises,6
2018 trs,6
poll battle,6
talks rajasthan,6
election manifesto,6
pradesh cm,6
kt rama,6
goa manipur,6
security forces,6
polls rahul,6
keep eye,6
modi bjp,6
satta market,6
2018 rahul,6
vote say,6
ec orders,6
back bjp,6
says congress,6
worth rs,6
pm candidate,6
missing voters,6
prithviraj chavan,6
union ministers,6
modi rahul,6
shah says,6
manpreet badal,6
goes viral,6
gandhi campaign,6
nitish lalu,6
clean chit,6
ec tells,6
kerala cm,6
modi asks,6
staff poll,6
lock horns,6
election insights,6
deputy cm,6
10 000,6
election commissioner,6
tainted candidates,6
bjp vote,6
babulal gaur,6
likely get,6
sonia rahul,6
rajasthan bjp,6
sp cong,6
polling begins,6
says ec,6
third time,6
state bjp,6
manipur polls,6
congress poll,6
new voters,6
ec asks,6
last phase,6
lok dal,6
confident winning,6
fingers crossed,6
lakh voters,6
new faces,6
raj thackeray,6
slams bjp,6
aap candidate,6
vote first,6
south gujarat,6
modi visit,6
general secretary,6
party office,6
20 seats,6
support congress,6
files papers,6
assembly poll,6
2015 modi,6
polling booth,6
hc notice,6
jharkhand assembly,6
counting day,6
ram temple,6
phase voting,6
phase assembly,6
k polls,6
trust vote,5
big gains,5
poll alliance,5
quits bjp,5
says aap,5
party chief,5
coming power,5
cm kcr,5
ensure free,5
votes bjp,5
slams congress,5
time bjp,5
vote count,5
rajya sabha,5
phase gujarat,5
take call,5
pankaj singh,5
congress faces,5
things know,5
parivartan party,5
stakes claim,5
voter list,5
50 seats,5
maharashtra bjp,5
3 days,5
naxal hit,5
bjp modi,5
dark side,5
gandhi visit,5
service voters,5
election promises,5
begins jharkhand,5
bjp pdp,5
voted power,5
last lap,5
bjp comes,5
cm face,5
uttarakhand assembly,5
large numbers,5
chief ministers,5
war words,5
modi pm,5
2017 results,5
48 hrs,5
bogus voters,5
12 seats,5
false promises,5
result bjp,5
praful patel,5
seats jharkhand,5
keep fingers,5
cm okram,5
test knowledge,5
results day,5
modi akhilesh,5
modi hold,5
bjp bsp,5
list punjab,5
poll campaigning,5
says rajnath,5
maken says,5
moves ec,5
2019 lok,5
pranab son,5
u turn,5
people want,5
liquor shops,5
singh son,5
elections 2012,5
congress banks,5
congress samajwadi,5
get majority,5
poll victory,5
left parties,5
maharashtra polls,5
uttarakhand poll,5
keshav prasad,5
take final,5
rs 2,5
stay away,5
aap gives,5
state polls,5
one killed,5
forming govt,5
richest candidate,5
modi invokes,5
voter id,5
elections voting,5
piyush goyal,5
pcc chief,5
goa cm,5
gandhi akhilesh,5
promises free,5
ram gopal,5
delhi poll,5
opinion polls,5
knowledge poll,5
may take,5
party leaders,5
50 years,5
close call,5
2 lakh,5
poll rallies,5
gujarat parivartan,5
poll manifesto,5
winds change,5
become cm,5
delhi congress,5
support bjp,5
congress get,5
polls parties,5
election bjp,5
family raj,5
go vote,5
2015 delhi,5
venkaiah naidu,5
amid tight,5
may go,5
record turnout,5
security personnel,5
asset details,5
cash seizure,5
congress moves,5
poll quiz,5
fall vote,5
poll race,5
back power,5
set form,5
2018 ec,5
congress panel,5
five years,5
poll process,5
bjp uttarakhand,5
get tickets,5
punjab cm,5
bjp holds,5
side campaign,5
join congress,5
results today,5
10 years,5
boost bjp,5
address two,5
voters vote,5
modi sonia,5
rahul says,5
final call,5
sharad yadav,5
campaign ends,5
asks voters,5
rise fall,5
taking ceremony,5
wait watch,5
prasad maurya,5
triple talaq,5
third front,5
states performed,5
temple run,5
state says,5
blame game,5
aap candidates,5
congress likely,5
likely today,5
cm pick,5
cp joshi,5
khooni panja,5
bjp get,5
govt staff,5
bets big,5
muslim voters,5
fight bjp,5
big win,5
contest independent,5
predict congress,5
quiz test,5
anna hazare,5
names missing,5
criminal charges,5
fair polls,5
elections kcr,5
cong chief,5
phase iv,5
10 seats,5
municipal corporation,5
8 lakh,5
free fair,5
bjp bigwigs,5
north bengal,5
100 seats,5
ex mla,5
violating poll,5
modi magic,5
stake claim,5
kumar vishwas,5
chief election,5
march 11,4
congress election,4
gandhi says,4
guard evms,4
10 days,4
bjp slams,4
punjab congress,4
vote congress,4
bring back,4
alliance bjp,4
kaur badal,4
bjp defeat,4
varun gandhi,4
campaign punjab,4
walled city,4
results show,4
shazia ilmi,4
next govt,4
35 seats,4
poll booths,4
face tough,4
seats goa,4
voting machines,4
right vote,4
congress mlas,4
kejriwal delhi,4
vinay katiyar,4
mann ki,4
tribal areas,4
cry foul,4
aap delhi,4
karan arjun,4
task force,4
small parties,4
wo contest,4
supreme court,4
