1_grams,Frequency
qualifiers,243
due,243
sc,242
advani,242
johnson,242
reports,242
exit,242
officials,242
mca,241
chopra,241
campaign,240
let,240
murali,240
things,240
15,239
begins,239
kabaddi,239
scorecard,238
pathan,238
signs,238
say,237
rout,237
upset,236
hero,236
shines,236
co,236
coaches,235
eden,235
ranking,234
liga,234
poor,234
threat,233
without,233
african,233
ioc,233
federation,233
rally,233
left,232
hand,232
milan,232
advance,232
style,231
salgaocar,231
heat,230
school,229
see,229
mahindra,228
bhajji,228
20,228
performance,227
mcilroy,227
wait,227
watson,227
rest,226
bhullar,226
official,226
pujara,226
senior,226
turns,226
italian,225
alive,225
number,225
dubai,225
unbeaten,224
going,224
pawar,223
becomes,223
kirsten,223
line,223
moves,223
become,222
semifinals,221
brace,221
epl,221
sunil,221
gaal,221
german,220
haryana,220
titles,220
vijender,219
defends,218
manager,218
shock,217
cricketer,217
fifth,217
slam,217
close,216
retain,216
girls,215
srikanth,215
european,215
feels,215
ali,215
shuttlers,214
juventus,214
challenger,214
foreign,214
lost,214
david,213
patel,213
dutch,213
dalmiya,213
eight,213
level,213
spanish,212
soccer,212
list,212
holds,212
storm,212
strikes,211
james,211
sai,210
tri,210
slips,210
times,210
qatar,210
continues,209
santosh,208
yousuf,208
seven,208
mary,208
serie,207
enters,207
clear,207
lifts,207
starts,206
russian,206
wta,205
lift,205
pietersen,205
power,204
rooney,204
comes,203
even,203
favourites,203
aims,202
association,202
lalit,202
sharapova,202
100,202
malaysia,202
spin,202
everton,201
medals,201
pre,201
breaks,200
gill,200
training,199
shine,199
cycling,199
quarterfinals,199
qualify,199
conte,199
stuns,198
retirement,197
ireland,197
short,197
roger,197
awards,197
pacers,197
death,196
lack,196
forward,196
road,196
kiwis,196
urges,196
crore,196
appeal,196
bounce,196
ruled,195
review,195
name,195
c,195
admits,194
vengsarkar,194
seed,194
defence,194
commonwealth,193
portugal,193
singapore,192
qualifier,192
warner,192
lpga,192
squash,192
ties,192
belgium,192
baroda,191
bolt,191
hot,191
michael,191
streak,191
warm,191
rahane,190
banned,190
full,190
soon,190
playoff,190
mohali,190
miami,189
penalty,188
singles,187
pv,187
clubs,187
plan,187
shooting,187
pulls,186
mirza,186
rule,186
snooker,186
quit,186
stop,186
grabs,185
quarter,185
plays,185
advances,185
love,185
