1_grams,Frequency
update,3434
written,3366
tv,3197
boss,2263
bigg,2232
show,2172
2018,2133
khan,1172
new,1112
2017,1079
hai,945
gets,832
sharma,778
singh,754
karan,729
ka,691
ke,678
love,676
yeh,622
get,615
2,612
season,567
back,565
kapil,556
play,553
comedy,518
10,512
time,488
bhagya,483
kapoor,480
life,476
shows,476
star,474
day,474
screen,469
house,464
actor,463
actress,455
dance,443
says,437
september,432
india,430
ki,419
actors,411
kardashian,404
may,400
television,399
august,396
july,391
first,389
turns,389
reality,385
december,381
october,378
salman,375
november,373
see,371
mehta,364
5,356
rishta,356
kumkum,353
big,353
12,349
make,348
june,348
kim,348
wedding,343
like,342
kya,340
watch,336
host,335
wants,319
family,316
want,315
7,312
mohabbatein,311
6,307
11,302
look,302
pyar,297
set,295
8,294
small,293
go,291
3,290
episode,284
special,284
birthday,284
kehlata,281
next,276
pics,270
year,267
indian,265
makes,262
wife,261
game,261
delhi,260
jenner,260
stars,258
simar,252
role,251
celebs,250
enter,248
contestant,248
debut,248
would,247
sets,246
returns,239
take,238
years,236
kuch,236
taarak,236
ekta,234
marriage,230
girl,229
ooltah,228
goes,228
bhi,228
jhalak,226
roy,226
film,225
chashmah,225
air,224
kumar,223
ishqbaaz,223
series,220
ek,220
got,219
april,217
pragya,216
contestants,216
arjun,216
9,216
baby,216
divyanka,215
takes,213
team,213
abhi,212
rakhi,211
real,210
married,209
rahul,208
sasural,208
mother,205
super,205
chopra,205
work,203
rang,200
know,197
shares,196
together,194
15,194
pic,193
pooja,191
people,191
shweta,191
january,190
one,189
24,188
best,188
husband,187
bollywood,187
two,186
ram,186
nights,184
aise,183
happy,183
telugu,181
cast,181
kannada,180
serial,180
meet,178
dil,178
finale,178
never,175
fans,173
priyanka,173
rohit,172
naagin,172
tripathi,171
daughter,170
b,170
4,170
shoot,169
dev,169
kids,169
father,168
patel,168
judge,168
friends,167
1,167
ali,166
thrones,164
shilpa,163
soon,163
knot,161
bahu,161
ravi,160
home,158
aka,158
manish,157
good,156
shah,155
tamil,155
away,154
joins,154
grover,152
part,152
video,152
acting,151
naira,151
ishita,149
awards,149
20,149
13,149
shivaay,148
post,147
mohit,146
today,145
jaa,145
story,145
hina,145
gautam,145
winner,143
tiwari,143
shakti,143
16,143
party,143
tandon,143
17,142
aur,142
february,141
arora,141
end,140
14,140
kundali,139
aamir,138
return,138
son,138
made,138
hum,137
gaurav,136
break,136
koffee,136
ex,136
ghar,136
main,135
march,135
quits,135
plans,135
kushal,134
21,134
26,134
30,134
drama,134
gauahar,133
vijay,133
malik,132
jaipur,132
fame,132
shetty,132
act,131
nach,131
celebrates,131
comes,131
khiladi,129
19,129
abhishek,129
mein,128
25,128
women,127
co,127
mumbai,127
come,126
balika,126
aditya,126
asks,125
khanna,125
27,125
khatron,124
baliye,124
plan,124
kulfi,124
idol,123
dikhhla,123
another,123
diwali,122
se,122
anika,122
looks,122
bhai,122
fun,122
premiere,122
live,121
films,121
win,121
gupta,120
zee,120
way,120
vadhu,120
ishq,119
quit,119
marry,119
kylie,118
vivek,118
man,118
22,118
neha,118
29,118
bachchan,117
lead,117
tu,117
28,116
roles,116
nandini,116
irani,115
singer,115
raj,115
sonakshi,115
beyhadh,115
pratyusha,115
ankita,114
18,114
siddharth,114
kartik,114
raja,114
tie,114
character,114
dating,114
telly,114
jennifer,113
couple,113
playing,113
music,112
share,112
karanvir,112
mouni,112
child,112
wins,112
grand,112
paul,111
malhotra,111
soaps,111
celebrate,111
eliminated,111
weekend,110
dancing,110
kbc,110
woman,109
visit,109
23,109
engaged,108
talent,108
episodes,108
fight,107
deepika,107
picture,107
finds,107
getting,107
boyfriend,107
khloe,106
marathi,105
pyaar,105
sooraj,105
talk,105
surbhi,105
na,105
popular,104
krishna,104
rani,104
sunil,104
become,104
still,103
anand,103
vishal,103
hot,103
sara,102
chaudhary,102
karishma,102
pandey,102
gives,101
second,101
boy,101
week,101
vikas,101
saanjh,101
comeback,100
us,100
face,100
top,100
reveals,100
bharti,99
relationship,99
world,99
voice,99
tries,98
trouble,98
enters,98
completes,97
bani,97
emotional,97
always,97
shoots,96
truth,96
roshni,96
friend,96
ready,95
diya,95
actresses,95
joshi,95
sa,95
meets,95
amitabh,95
days,94
calls,94
mona,94
punjabi,94
malayalam,94
amit,93
plays,93
night,93
raman,93
akshay,93
soni,93
sunny,93
sawant,92
feel,92
saat,92
thapki,92
armaan,92
west,92
bags,92
brother,92
anjali,92
prime,91
tells,91
sheikh,91
shooting,91
2016,91
srk,91
wo,91
dipika,90
champa,90
tonight,90
becomes,90
surprise,90
jay,89
veena,89
bohra,89
kunal,89
evicted,89
kritika,89
turn,88
fan,88
alia,88
madhuri,88
girlfriend,88
talks,88
replaces,87
tere,87
decides,87
mom,87
mehra,87
date,86
bedi,86
lucknow,86
death,85
channel,85
social,85
ga,85
divorce,85
roadies,85
going,85
kaur,85
aishwarya,84
desai,84
kohli,84
old,84
miss,84
banerjee,84
last,83
wanted,83
movie,83
sreesanth,82
parul,82
gurmeet,82
verma,82
rukh,81
jethalal,81
maya,81
gor,80
sex,80
piyaji,80
bikini,80
hain,80
join,79
kasam,79
avatar,79
missing,79
baati,79
dahiya,79
varun,78
leap,78
nikhil,78
better,78
sona,78
onnum,78
launch,78
anchor,78
finally,78
bhatt,78
much,78
sister,78
krushna,77
shinde,77
dream,77
american,77
sakshi,77
three,77
accident,77
feels,77
ye,77
ranbir,77
kendall,77
loves,77
action,77
learns,76
high,76
entry,76
romance,76
akbar,76
dutta,76
excited,76
bajewala,76
vj,76
parents,76
anita,76
saathiya,75
kavita,75
preeta,75
school,75
maa,75
pa,75
dead,75
help,75
rithvik,74
making,74
ronit,74
long,74
vikrant,74
zindagi,73
kishwer,73
sangram,73
por,73
prince,73
apon,73
favourite,73
seen,73
former,72
jain,72
police,72
name,72
appear,72
pictures,72
double,71
kanye,71
sikander,71
rao,71
kasautii,71
gujarati,71
k,71
juhi,71
kay,71
single,71
men,71
saas,71
kakar,71
sushant,71
daily,70
upset,70
om,70
mahadev,70
case,70
kundra,70
journey,70
kamya,70
files,70
breaks,70
audience,70
anil,70
smriti,70
hindi,69
dubey,69
award,69
leave,69
lot,69
give,69
media,69
moments,69
winget,69
thakur,69
seth,69
cricket,69
farah,68
body,68
romantic,68
j,68
saath,68
hero,68
31,68
crime,68
vs,67
working,67
find,67
serials,67
fear,67
secret,66
radhika,66
holi,66
highlights,66
little,66
car,66
stage,66
vikram,66
inspired,66
hrithik,66
shukla,65
sun,65
industry,65
drashti,65
mtv,65
girls,65
mahajan,65
sana,65
hit,65
replace,65
kanak,65
entertainment,64
producer,64
latest,64
injured,64
ashish,64
trip,64
director,64
pregnant,64
plus,64
rode,64
need,64
rashami,64
nia,64
kill,63
rajeev,63
perform,63
ragini,63
sargun,63
marjawan,63
kaushik,63
dhami,63
rajesh,63
pratap,63
moment,63
