1_grams,Frequency
bjp,1629
congress,1254
elections,986
polls,858
poll,771
assembly,767
election,688
modi,623
delhi,585
says,491
2015,370
voters,368
candidates,361
rahul,355
vote,345
party,335
rajasthan,334
aap,332
ec,328
cong,323
singh,322
cm,309
results,299
pradesh,297
2018,292
gujarat,289
pm,275
telangana,264
seats,249
gandhi,241
campaign,234
bihar,232
kejriwal,215
may,215
narendra,203
list,194
votes,193
madhya,185
yadav,182
first,182
punjab,181
candidate,181
parties,179
akhilesh,177
phase,171
polling,166
sp,165
turnout,163
govt,159
goa,152
voting,151
win,150
new,147
bsp,146
chief,140
women,140
today,138
time,134
shah,134
leaders,134
mp,131
contest,131
day,128
chhattisgarh,127
alliance,125
seat,125
get,123
minister,120
people,119
state,119
ticket,118
power,114
2,113
gets,112
rally,112
back,109
amit,109
fight,109
promises,109
rs,107
arvind,107
take,107
big,103
mayawati,103
mulayam,102
3,102
set,101
battle,100
sonia,99
mlas,98
muslim,97
high,95
political,95
ahead,95
voter,94
manifesto,94
commission,94
politics,94
maharashtra,93
code,93
haryana,92
himachal,92
son,91
two,90
leader,88
victory,87
mla,87
ncp,86
support,84
k,83
booths,83
security,82
manipur,82
make,81
likely,81
1,80
face,80
5,80
mamata,80
takes,79
show,78
government,78
last,76
samajwadi,76
kcr,75
uttarakhand,75
counting,74
raje,74
j,73
asks,72
left,72
netas,72
bengal,71
4,71
sena,70
2017,70
file,70
mizoram,69
uttar,69
man,69
10,68
panel,68
development,68
change,67
tickets,67
city,66
go,66
one,65
evms,65
badal,64
trs,64
rallies,64
way,64
meet,63
rebels,63
home,63
result,63
years,63
lakh,62
seeks,62
amarinder,62
cpm,62
still,62
names,61
bedi,61
workers,61
say,60
ministers,60
nitish,60
muslims,59
money,59
give,59
post,58
jharkhand,58
dmk,57
makes,57
hit,56
patel,56
turf,56
nota,56
cops,56
fray,55
ready,55
house,55
key,54
sad,54
family,54
hold,54
gehlot,53
begins,53
free,53
keep,53
duty,53
nomination,53
wo,52
faces,52
eyes,52
war,52
papers,51
want,51
wins,51
2013,51
final,51
goes,50
second,50
work,50
youth,50
sidhu,50
shivraj,50
record,50
gives,49
000,49
2014,49
help,49
caste,49
notice,49
cash,49
kumar,48
turn,48
cast,48
nominations,48
hc,48
form,48
police,48
hopes,48
rajnath,47
issues,47
tough,47
maya,47
test,47
issue,46
join,46
call,46
evm,46
west,46
third,46
ex,46
would,46
joins,46
confident,45
chouhan,45
old,45
campaigning,45
share,45
tells,44
talks,44
tmc,44
defeat,44
top,44
three,44
lalu,44
calls,44
trinamool,44
could,43
boycott,43
nda,43
eye,43
exit,43
captain,43
slams,42
land,42
village,42
saffron,42
opposition,42
india,42
aam,42
ends,41
crore,41
officials,41
days,40
liquor,40
quota,40
men,40
rise,40
kerala,39
lok,39
plans,39
vs,39
turns,39
u,39
sabha,38
race,38
former,38
four,38
assam,38
decide,38
ram,38
raj,37
visit,37
naidu,37
right,37
states,37
break,37
behind,37
plan,37
deal,37
7,37
ballot,37
vasundhara,37
meets,37
media,36
remark,36
hits,36
play,36
rebel,36
next,36
kiran,36
woo,36
releases,36
2012,36
keeps,36
till,36
like,36
rao,35
majority,35
violation,35
away,35
us,35
wife,35
wants,35
demands,35
anti,34
clean,34
aadmi,34
missing,34
address,34
wave,34
public,34
year,34
loses,34
north,34
claims,34
among,34
cabinet,34
district,34
sc,33
water,33
trail,33
electoral,33
11,33
know,33
kin,33
shiv,33
meeting,33
model,33
good,33
constituency,33
poor,32
booth,32
close,32
6,32
end,32
must,32
despite,32
tainted,32
mumbai,32
holds,32
yet,32
farmers,32
banks,32
office,32
cases,32
court,32
central,32
jd,31
centre,31
files,31
social,31
young,31
forces,31
five,31
team,31
fate,31
bound,31
violence,30
claim,30
probe,30
held,30
failed,30
rss,30
brother,30
sees,30
low,30
seized,30
politicians,30
parrikar,30
fails,30
ashok,30
jaitley,30
lost,30
red,30
put,30
grand,30
stop,30
pitch,30
mark,29
50,29
supporters,29
reddy,29
raman,29
leaves,29
hours,29
card,29
come,29
ban,29
sheila,29
adityanath,29
tribal,29
yogi,29
postal,28
rivals,28
attack,28
see,28
booked,28
temple,28
case,28
need,28
plea,28
didi,28
hope,28
vijay,28
non,28
owaisi,28
tamil,28
12,27
districts,27
winning,27
ensure,27
even,27
six,27
many,27
use,27
hardik,27
swearing,27
rule,27
amid,27
15,27
order,27
made,27
roadshow,27
split,27
rawat,27
lucknow,27
retain,27
ahmedabad,27
questions,27
20,27
guns,27
anna,27
seek,27
nadu,27
dalit,27
verdict,26
row,26
kutami,26
navjot,26
sweep,26
bastion,26
complaint,26
constituencies,26
pilot,26
front,25
8,25
east,25
chautala,25
oath,25
bring,25
independents,25
across,25
threat,25
blame,25
south,25
shows,25
jayalalithaa,25
ceo,25
president,25
urban,25
challenge,25
sukhbir,25
moves,25
role,25
villagers,25
jaya,24
stay,24
open,24
per,24
blames,24
ballots,24
members,24
independent,24
priyanka,24
tie,24
better,24
early,24
urges,24
bastar,24
criminal,24
staff,24
return,24
run,24
harish,24
dal,24
indore,24
report,23
focus,23
maoists,23
corruption,23
jobs,23
history,23
watch,23
sushma,23
rules,23
dikshit,23
vows,23
ground,23
protest,23
others,23
uma,23
comes,23
chandrababu,23
prasad,23
news,23
drive,23
pawar,23
allies,23
every,23
plays,23
hands,23
trouble,22
field,22
tomorrow,22
mgp,22
assets,22
name,22
paid,22
sachin,22
maoist,22
funds,22
strong,22
woos,22
pranab,22
1st,22
bank,22
ajit,22
thackeray,22
wait,22
force,22
campaigns,22
gadkari,22
hurt,22
quits,22
students,22
door,22
voted,21
place,21
30,21
formation,21
union,21
offers,21
growth,21
communal,21
fights,21
cent,21
lead,21
repoll,21
push,21
law,21
kamal,21
far,21
16,21
national,21
crowd,21
well,21
governor,21
70,21
protests,21
9,21
neck,21
start,21
pdp,21
nagar,21
pre,21
surat,20
winner,20
life,20
loss,20
factor,20
officers,20
peaceful,20
week,20
25,20
star,20
cpi,20
near,20
small,20
round,20
tn,20
40,20
filed,20
denied,20
lone,20
swing,20
scindia,20
jan,20
uddhav,20
cards,20
awareness,20
digvijaya,20
rural,20
survey,20
hung,20
march,20
13,20
move,20
noida,20
areas,20
jogi,20
clash,19
manifestos,19
edge,19
18,19
14,19
tribals,19
100,19
stage,19
puts,19
road,19
60,19
ktr,19
fail,19
remain,19
promise,19
sitting,19
gains,19
opinion,19
alleges,19
number,19
accuses,19
heat,19
pick,19
boost,19
repolling,19
fir,19
stand,19
find,19
times,19
fear,19
hand,19
distribution,19
december,19
ibobi,19
leads,19
let,19
sops,19
offer,19
freebies,19
task,19
nath,19
shivpal,19
never,19
attacks,19
fire,19
demand,18
fort,18
making,18
sworn,18
karunanidhi,18
divided,18
note,18
seeking,18
rjd,18
process,18
woman,18
vardhan,18
aspirants,18
option,18
surge,18
needs,18
angry,18
lal,18
residents,18
lambi,18
magic,18
create,18
keen,18
pakistan,18
symbol,18
villages,18
sharad,18
game,18
fires,18
less,18
timers,18
revolt,18
action,18
officer,18
28,18
choice,18
khan,18
jibe,18
camp,18
another,18
records,18
dalits,18
24,18
mandate,18
also,18
highest,18
announces,18
act,17
suspended,17
season,17
secretary,17
17,17
safe,17
fresh,17
fields,17
corrupt,17
lose,17
aiadmk,17
crorepatis,17
chandrasekhar,17
charges,17
st,17
graft,17
cycle,17
wrong,17
head,17
kanpur,17
fair,17
speech,17
nitin,17
led,17
class,17
debate,17
storm,17
official,17
rival,17
mim,17
numbers,17
hyderabad,17
scam,17
hat,17
varanasi,17
leave,17
bhopal,17
centres,17
75,17
since,16
capt,16
remarks,16
joshi,16
gogoi,16
sharing,16
richest,16
ask,16
charge,16
fighting,16
complaints,16
cut,16
within,16
heavy,16
rolls,16
rides,16
dream,16
maken,16
got,16
tdp,16
mood,16
eve,16
expels,16
check,16
look,16
19,16
stars,16
soon,16
akalis,16
jaipur,16
finds,16
youths,16
minority,16
dera,16
plank,16
roads,16
2019,16
major,16
deputy,16
rld,16
reply,15
trying,15
special,15
prime,15
steps,15
car,15
double,15
omar,15
status,15
flag,15
cry,15
around,15
