2_grams,Frequency
climate change,287
tiger reserve,112
global warming,96
found dead,90
national park,82
air pollution,79
green tribunal,67
climate talks,58
western ghats,50
environment ministry,46
environment day,44
migratory birds,39
madhya pradesh,37
world environment,36
national green,34
tiger reserves,31
wildlife sanctuary,30
forest department,30
tamil nadu,29
paris climate,29
india china,28
climate deal,27
forest dept,27
tiger census,26
supreme court,25
eco friendly,25
green cover,25
big cats,24
rich nations,24
gir lions,23
tiger conservation,23
el nino,23
tiger cubs,23
new species,23
solar power,23
pollution control,22
forest cover,21
rhino killed,21
air quality,21
tiger count,21
bird species,20
action plan,19
eco sensitive,19
tiger found,18
great indian,18
olive ridley,18
barrier reef,17
green nod,17
world bank,17
control board,17
forest officials,17
e waste,17
un climate,17
delhi air,17
bird sanctuary,16
indian bustard,16
high court,15
eco tourism,15
delhi zoo,15
poachers kill,15
great barrier,15
year old,15
carbon tax,15
tigress found,15
himachal pradesh,15
earth hour,15
jairam ramesh,14
clean energy,14
man eater,14
kaziranga national,14
killed kaziranga,14
sea ice,14
big cat,14
go green,13
ridley turtles,13
man animal,13
plastic bags,13
ganga pollution,13
gives birth,13
animal conflict,13
delhi govt,13
sea level,13
renewable energy,13
climate action,13
carbon emissions,13
forest rights,13
j k,13
join hands,12
three years,12
oil spill,12
endangered species,12
leopard found,12
prakash javadekar,12
green energy,12
green clearance,12
sariska tiger,12
asiatic lions,12
may get,12
another rhino,12
leopard skin,12
new home,11
species found,11
sq km,11
tiger deaths,11
two arrested,11
plastic waste,11
developing nations,11
power plant,11
wild elephants,11
solar energy,11
first time,11
tiger population,11
west bengal,11
save tigers,11
national parks,10
panna tiger,10
green ministry,10
forest act,10
paris agreement,10
pm modi,10
says study,10
poachers held,10
green panel,10
himalayan glaciers,10
jayanthi natarajan,10
dudhwa tiger,10
lion safari,10
panna reserve,10
climate summit,10
andhra pradesh,10
global climate,10
tiger poaching,10
kyoto protocol,10
conservation plan,10
un report,10
climate meet,10
forest land,10
clean air,10
emission cuts,9
olive ridleys,9
water bodies,9
antarctic ice,9
developed world,9
arctic sea,9
sand mining,9
world first,9
ban plastic,9
forest clearance,9
wildlife crime,9
maharashtra govt,9
clean ganga,9
two years,9
mysore zoo,9
takes toll,9
food crisis,9
diesel vehicles,9
day 2013,9
leopard skins,9
noise pollution,9
core areas,9
carbon footprint,9
use plastic,9
municipal corporation,9
north bengal,9
bengal tiger,9
co2 emissions,8
govt plans,8
rare birds,8
tree felling,8
impact climate,8
tourism core,8
mp govt,8
lima climate,8
fight climate,8
tiger protection,8
ice age,8
bad air,8
environment forest,8
saplings planted,8
white tiger,8
rs 5,8
white tigers,8
rights act,8
dead near,8
tiger numbers,8
species discovered,8
three tigers,8
change may,8
3 months,8
uttar pradesh,8
anti poaching,8
tree census,8
man made,8
tiger cub,8
ice sheet,8
gir sanctuary,8
ministry environment,8
green tech,8
foul air,8
arunachal pradesh,8
tiger tourism,8
