1_grams,Frequency
bring,294
digital,294
international,293
check,292
dlr,292
chidambaram,292
worries,292
n,292
booking,291
investor,291
3g,290
fight,290
wins,290
pnb,289
holds,289
another,289
slide,288
want,287
september,287
fares,286
bse,286
action,286
md,285
show,285
expected,284
bets,284
note,284
spicejet,284
experts,284
needs,284
harvey,283
equities,283
warns,282
gail,282
due,282
decision,282
regulator,281
plea,280
industrial,280
source,280
software,279
malaysia,279
spot,279
housing,279
slip,278
starts,278
red,278
licence,278
europe,278
cbi,277
hero,277
beats,276
media,276
nearly,275
track,275
infrastructure,274
uber,274
startups,274
workers,274
35,274
ia,274
base,273
copper,273
city,273
signs,273
cairn,272
return,272
eases,272
block,272
meeting,272
road,271
positive,271
woes,271
governor,270
range,270
pricing,269
airways,269
tough,268
office,268
approves,267
soy,267
cabinet,267
law,267
tokyo,266
notice,266
step,266
tops,265
49,265
german,264
toyota,263
october,262
lending,262
highest,262
dividend,261
gm,261
traders,260
aviation,260
yrs,259
sun,259
pipeline,257
buyers,257
mukesh,256
bpo,255
would,255
apr,255
premium,254
bangalore,253
moody,253
vote,253
rating,253
cement,252
itc,252
remain,252
mar,251
hotels,250
sops,250
battle,250
nov,249
star,249
slow,248
contract,248
russia,248
75,248
idbi,248
ford,248
quits,248
refinery,248
touch,248
reform,247
lme,247
less,247
line,246
build,246
control,245
tie,245
election,244
weekly,243
pilots,243
fii,243
rights,242
currency,242
corp,242
telcos,242
ad,242
president,241
clears,240
sugar,240
property,240
salary,239
decline,239
idea,238
flight,238
palm,237
core,237
32,236
startup,236
singh,236
former,236
reserves,236
2016,236
venezuela,236
italy,235
yet,235
mid,235
expand,235
luxury,235
accounts,235
33,235
flipkart,233
insurers,233
pe,233
inflows,233
african,233
hire,232
mistry,232
payments,232
led,231
customers,231
london,230
aims,230
51,230
declines,230
cards,229
anti,229
direct,229
players,229
hurricane,228
leads,228
70,228
australian,228
tariff,227
chennai,227
late,226
rural,226
backs,226
makers,226
mkt,226
win,226
hub,225
tender,225
december,225
scam,225
national,225
estate,224
nikkei,224
turns,224
mart,223
arun,223
reduce,223
wealth,222
delay,222
roll,222
adani,222
made,222
hcl,222
slows,222
changes,222
act,221
general,221
opec,221
80,220
local,220
dlf,220
samsung,220
options,220
others,220
old,220
save,219
right,219
unveils,219
lenders,219
poor,219
twitter,218
create,218
swiss,218
official,217
visa,217
hpcl,216
rejects,216
pension,216
role,216
2nd,216
nse,216
legal,215
payment,215
political,215
vietnam,215
profits,214
cross,214
claims,214
plunges,214
joins,214
rcom,213
hotel,213
facebook,212
people,212
extend,212
usd,212
mixed,212
continues,212
index,211
dec,211
cotton,211
european,211
fails,211
american,210
taking,210
selloff,210
inks,210
exporters,210
bet,209
weakens,209
fy,209
peak,209
45,209
000cr,209
2014,209
sail,208
sign,208
beat,208
find,208
48,207
securities,207
stop,207
pvt,206
55,206
ups,206
ceos,205
making,205
foray,205
exchange,205
percent,205
partners,205
lows,205
weather,204
talk,204
pranab,204
800,203
charge,203
52,203
tariffs,203
gasoline,203
bankers,201
expects,201
poll,201
network,201
asset,201
play,201
industries,200
system,200
team,200
microsoft,200
soars,200
boeing,200
pick,200
november,199
premia,199
officials,199
directors,199
annualised,199
man,198
limit,198
challenge,198
rule,198
600,198
dubai,198
fwd,198
fee,197
subsidy,197
session,197
tvs,197
picks,197
blocks,196
solar,196
lng,195
34,195
full,195
bhel,195
ecb,195
goods,195
defence,195
2015,194
account,194
infy,194
mtnl,193
indonesia,193
america,193
enters,193
weaker,193
strategy,193
pull,193
schemes,193
hul,193
january,193
climbs,193
fly,192
away,192
black,192
deposits,192
slump,192
commerce,192
till,192
initial,191
stimulus,191
crosses,191
executive,191
3rd,191
pre,191
mth,190
jio,190
users,190
g,190
k,190
mining,190
space,190
development,189
summary,189
safety,189
model,189
united,188
shareholders,188
proposal,188
half,188
goldman,188
bullish,187
dues,187
fmcg,187
airline,187
partner,186
crop,186
white,186
deposit,186
abroad,186
brent,185
desi,185
stores,185
2012,185
cities,184
rallies,184
expectations,184
kg,184
150,183
sinha,183
revive,183
special,183
cii,183
vehicles,182
drugs,182
keeps,182
farm,182
hsbc,181
vedanta,181
dept,181
coffee,181
j,181
soar,180
rebounds,179
levels,179
deadline,179
demonetisation,179
fast,179
retailers,179
entry,178
outsourcing,178
dow,178
break,178
65,177
lpg,177
closing,177
plants,177
capacity,177
working,176
internet,176
africa,176
invests,176
bengal,176
sez,176
fail,176
2g,176
nissan,175
indigo,175
decide,175
body,174
regains,174
2010,174
director,174
agreement,174
british,174
irda,174
usda,174
spend,174
slides,174
dispute,174
2008,174
losing,174
revival,173
resistance,173
family,173
nano,173
falling,173
tensions,173
commercial,172
drives,172
shows,172
reserve,172
maker,172
arabica,172
spending,172
fine,172
adds,172
season,171
murthy,171
volatile,171
quarterly,171
york,171
forecasts,171
90,170
ratan,170
fastest,170
past,170
allow,170
approval,170
technology,169
leave,169
marginally,169
44,169
patent,169
even,169
pulls,169
com,169
class,169
competition,168
basis,168
congress,168
taxes,168
36,168
instruments,167
cautious,167
planning,167
1bn,167
ibm,167
meets,166
straight,166
worst,166
segment,166
assocham,166
holdings,166
bpcl,166
names,165
coast,165
growing,165
factory,165
tumbles,165
remains,165
benefit,165
shut,165
ground,165
tanker,164
touches,164
09,164
paid,164
64,164
talent,164
worry,164
raju,164
info,163
country,163
rel,163
coke,163
investing,162
proposes,162
ink,162
promoters,162
executives,162
safe,162
files,162
around,161
tap,161
airports,161
risks,161
54,161
reach,161
becomes,161
aadhaar,161
stronger,161
party,161
godrej,161
dirty,160
hurt,160
unlikely,160
crash,160
irma,160
finds,160
stable,159
care,159
social,159
taiwan,159
rich,159
holding,159
sec,159
lift,159
labour,159
ringgit,159
route,159
debut,158
savings,158
farmers,158
portfolio,158
allows,158
single,158
47,158
pak,158
urges,158
award,158
code,158
details,158
250,158
audit,157
consumers,157
shift,157
h,157
ads,157
joint,157
axis,157
looking,157
retest,157
ride,157
analysts,157
stays,157
rush,157
threat,156
certified,156
acquisition,156
field,156
obama,156
railways,156
aircraft,155
begin,155
live,155
boom,155
follow,155
without,155
46,155
tele,155
bankruptcy,155
attack,155
east,154
pace,154
airbus,154
fin,154
fixtures,154
shell,154
france,153
zealand,153
rail,153
vehicle,153
notes,153
weighs,153
nears,153
restructuring,153
texas,153
crisil,152
weigh,152
recover,152
final,152
trend,151
yield,151
multi,151
form,151
tea,150
boj,150
latest,150
qatar,150
britain,150
excise,149
rolls,149
electric,149
round,149
upbeat,149
personal,149
number,149
morgan,149
grains,149
keen,149
42,149
tanks,148
nuclear,148
fixed,148
department,148
2009,148
sep,148
policies,148
cell,148
aluminium,148
little,148
curbs,148
1st,148
know,147
commission,147
facility,147
education,147
cag,147
pushes,147
raising,147
curb,147
discuss,147
listing,147
fees,146
hope,146
tesla,146
diwali,146
raghuram,146
name,146
repo,146
merge,146
alliance,145
vsnl,145
flying,145
strategic,145
weeks,145
edible,145
filing,145
gasoil,144
700,144
puerto,144
ge,144
pump,144
bourses,144
kotak,144
fire,144
cattle,144
extension,144
37,143
port,143
fold,143
ops,143
hands,143
press,143
indices,143
negative,143
benefits,143
storm,143
lowest,143
fix,142
managers,142
view,142
records,142
gaap,142
appoints,142
revamp,142
avoid,142
marketing,142
ipos,142
43,142
climb,142
clear,142
toshiba,142
technical,142
models,142
ed,141
nasscom,141
h1,141
leaders,141
hard,141
41,141
38,141
sheds,141
lost,141
process,140
slightly,140
access,140
nokia,140
status,140
many,140
told,140
senate,139
file,139
total,139
39,139
fare,139
karnataka,139
okays,139
brings,139
transfer,139
finmin,139
hints,139
expect,139
february,138
founder,138
divestment,138
used,138
product,138
far,138
costlier,138
regime,138
russian,138
water,137
cfo,137
emerging,137
patel,137
delays,137
large,137
argentina,137
reddy,137
festive,137
2011,137
package,137
lifts,137
senior,137
traffic,136
oils,136
release,136
56,136
takeover,136
exclusive,136
hedge,136
aid,136
consider,136
snap,136
secretary,135
lens,135
bail,135
rebound,135
exits,135
limited,135
slashes,135
begins,135
volatility,135
motor,135
boosts,134
mncs,134
bharat,134
japanese,134
supreme,134
split,134
cases,134
rico,133
phone,133
leyland,133
canola,133
trims,133
leaves,133
reverse,133
driving,133
bike,133
going,133
smart,133
police,133
korean,133
57,133
reuters,132
force,132
mine,132
app,132
nafta,132
sanctions,132
airasia,132
current,131
west,131
improve,131
point,131
revenues,131
monday,131
confidence,131
bigger,130
behind,130
buyback,130
mercedes,130
proposals,130
needed,130
clean,130
supplies,130
attract,130
annual,130
strengthens,130
currencies,129
asked,129
cellular,129
53,129
potential,129
maharashtra,129
judge,129
unchanged,129
brokers,129
cola,129
dabhol,129
comes,129
ways,129
claim,128
citi,128
chip,128
holiday,128
volkswagen,128
cyber,128
bounce,128
66,128
tag,127
towards,127
softbank,127
npas,127
textile,127
iip,127
ask,127
fiat,127
cil,127
turkey,127
dgca,127
ashok,126
quit,126
hll,126
cci,126
mega,126
nations,126
jewellery,126
speech,126
disinvestment,126
fear,126
900,125
indo,125
subdued,125
much,125
beyond,125
operators,125
heat,125
settlement,125
signals,125
deutsche,124
tin,124
miss,124
summit,124
activity,124
paper,124
liquidity,124
scandal,124
buyout,123
67,123
self,123
pays,123
cognizant,123
speed,123
radio,123
tsx,123
premji,123
gmr,122
videocon,122
businesses,122
california,122
visit,122
commodity,122
natural,122
monsoon,122
58,122
linked,122
settle,121
recession,121
iraq,121
germany,121
vat,121
canadian,121
ltd,121
turnover,121
comments,121
cargo,121
questions,121
1b,121
iron,121
breaches,121
sons,121
park,121
margins,121
bailout,121
revised,120
sellers,120
crunch,120
helps,120
council,120
hutch,120
easy,120
yes,120
discount,120
lawsuit,120
contracts,120
68,120
apollo,119
coming,119
regulatory,119
ore,119
feel,119
ever,119
fob,119
dong,118
buffett,118
gmt,118
08,118
seven,118
heavy,118
young,118
paytm,118
biggies,118
rivals,118
acquisitions,118
strikes,118
agree,118
05,117
chain,117
02,117
agency,117
corporation,117
insider,117
hires,117
61,117
items,117
tomorrow,116
obamacare,116
trust,116
shine,116
inches,116
recall,116
74,116
search,116
story,116
resigns,116
bikes,116
interbank,116
agenda,115
yuan,115
woo,115
greece,115
intel,115
yellen,115
atms,115
enron,115
possible,114
plunge,114
offshore,114
tumble,114
easing,114
extra,114
wal,114
fy18,114
effect,114
increases,114
vijay,114
unilever,114
club,114
philippines,114
se,113
heads,113
dpc,113
sold,113
awards,113
sectors,113
nath,113
valuation,113
zone,113
cyrus,113
fortis,113
wells,112
school,112
punjab,112
trades,112
boss,112
column,112
72,112
zooms,112
provide,112
readies,112
well,111
cheap,111
outstanding,111
reduces,111
balance,111
thai,111
every,111
building,111
issued,111
delayed,111
innovation,111
trial,111
deccan,111
bills,111
scale,111
kitty,110
soft,110
affect,110
85,110
recalls,110
slash,110
quality,110
wait,110
walmart,110
denies,110
concern,110
montek,110
03,110
transactions,109
faster,109
nestle,109
kerala,109
light,109
grain,109
rejig,109
research,108
monetary,108
et,108
develop,108
discounts,108
minutes,108
great,108
giant,108
measures,108
campaign,108
suit,108
bonus,108
arabia,107
enough,107
truck,107
cancer,107
kong,107
cenbank,107
threatens,107
appeal,107
scanner,107
73,107
huge,106
carriers,106
andhra,106
hyderabad,106
adb,106
bag,106
climate,106
sony,106
let,106
presidency,106
advance,106
option,106
350,106
daily,105
peso,105
gupta,105
success,105
float,105
response,105
polls,105
performance,105
hong,105
dabur,105
across,105
burden,105
metro,104
platform,104
04,104
soyoil,104
place,104
defaulters,104
adjusted,104
cmd,104
ruling,104
psbs,103
maytas,103
rollout,103
gear,103
express,103
dalal,103
roaming,103
gap,103
treasury,103
fda,103
caps,103
mkts,103
bjp,103
await,103
62,103
bp,103
surplus,103
500cr,103
defers,102
nasdaq,102
planes,102
looms,102
fs,102
uae,102
revises,102
petroleum,102
ficci,102
unions,102
backed,102
summer,102
penalty,102
pmi,102
inflow,102
slumps,102
middle,101
series,101
hot,101
sharma,101
draft,101
financials,101
within,101
cable,101
delivery,101
brothers,101
technologies,101
il,101
properties,101
natgas,101
priority,101
bmw,101
licences,100
hindustan,100
lowers,100
fields,100
interim,100
ovl,100
egypt,100
additional,100
uncertainty,100
wind,100
sues,100
fitch,100
ensure,100
papers,100
listed,100
poised,100
swap,100
challenges,100
doubts,100
5bn,99
branches,99
majority,99
ii,99
path,99
allocation,99
cloud,99
rains,99
vw,99
zee,99
exposure,99
suv,99
bengaluru,99
renault,99
blackstone,99
strength,99
prime,99
grades,99
sharply,99
pepsi,99
f,99
table,98
changed,98
retirement,98
trillion,98
bounces,98
refund,98
electronics,98
76,98
pepsico,98
mostly,98
tourism,98
collection,98
deora,98
dream,97
suspends,97
iphone,97
rival,97
stage,97
link,97
regional,97
things,97
stand,96
drag,96
pan,96
broadband,96
naik,96
bull,96
mcx,96
blue,96
numbers,96
ny,96
