Accuracy,Type
0.9959223285773544,books
0.9281750659393123,"business, economy, trade"
0.9839241130477658,education
0.9896062425157902,environment
0.9244339393749658,film
0.9817717912795748,health
0.9580492920818039,media
0.989590589266567,"politics, government"
0.9774201879955232,science
0.9933786755785832,south-asia
0.9706892908295439,sports
0.958738035047625,tech
0.9951474927408057,video
0.9929169047264986,woman
0.9548247227418232,world
